timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559778262226,25379,página,200,OK,Usuarios esperados 1-23,text,true,,459071,119,50,50,https://www.youtube.com/,3853,0,3241
1559778263974,24309,página,200,OK,Usuarios esperados 1-8,text,true,,448798,119,50,50,https://www.youtube.com/,2114,0,1547
1559778266621,22503,página,200,OK,Usuarios esperados 1-17,text,true,,453913,119,50,50,https://www.youtube.com/,3440,0,2873
1559778276911,12552,vídeo,200,OK,Usuarios esperados 1-2,text,true,,217422,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2432,0,1912
1559778283306,6181,vídeo,200,OK,Usuarios esperados 1-11,text,true,,216565,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1743,0,1568
1559778279227,10524,vídeo,200,OK,Usuarios esperados 1-4,text,true,,216240,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3246,0,2974
1559778276393,13627,vídeo,200,OK,Usuarios esperados 1-14,text,true,,216732,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,3813,0,1048
1559778270068,20207,página,200,OK,Usuarios esperados 1-43,text,true,,466731,119,50,50,https://www.youtube.com/,2189,0,1975
1559778264439,26927,página,200,OK,Usuarios esperados 1-28,text,true,,437618,119,50,50,https://www.youtube.com/,1893,0,1082
1559778282761,9167,vídeo,200,OK,Usuarios esperados 1-6,text,true,,217777,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1834,0,1333
1559778278002,14211,vídeo,200,OK,Usuarios esperados 1-26,text,true,,213818,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,5006,0,1626
1559778287285,5197,vídeo,200,OK,Usuarios esperados 1-24,text,true,,218794,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1601,0,785
1559778282504,10837,vídeo,200,OK,Usuarios esperados 1-38,text,true,,217581,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1323,0,1110
1559778276125,17864,vídeo,200,OK,Usuarios esperados 1-29,text,true,,212939,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2967,0,1313
1559778281575,12765,vídeo,200,OK,Usuarios esperados 1-32,text,true,,217088,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1744,0,1466
1559778290275,5936,vídeo,200,OK,Usuarios esperados 1-43,text,true,,217741,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1639,0,531
1559778283555,12662,vídeo,200,OK,Usuarios esperados 1-33,text,true,,218240,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2639,0,1328
1559778287606,10360,vídeo,200,OK,Usuarios esperados 1-23,text,true,,217066,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2183,0,1289
1559778274748,23492,página,200,OK,Usuarios esperados 1-7,text,true,,425086,119,50,50,https://www.youtube.com/,1103,0,806
1559778283557,16512,vídeo,200,OK,Usuarios esperados 1-40,text,true,,217640,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1582,0,1172
